Filename;Segment;WC;WPS;Sixltr;Dic;funct;pronoun;ppron;i;we;you;shehe;they;ipron;article;verb;auxverb;past;present;future;adverb;preps;conj;negate;quant;number;swear;social;family;friend;humans;affect;posemo;negemo;anx;anger;sad;cogmech;insight;cause;discrep;tentat;certain;inhib;incl;excl;percept;see;hear;feel;bio;body;health;sexual;ingest;relativ;motion;space;time;work;achieve;leisure;home;money;relig;death;assent;nonfl;filler;AllPunc;Period;Comma;Colon;SemiC;QMark;Exclam;Dash;Quote;Apostro;Parenth;OtherP
lula_df_texto_contra.txt;1;1;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
lula_df_texto_contra.txt;2;25;25,00;28,00;52,00;28,00;8,00;4,00;0,00;0,00;4,00;4,00;0,00;8,00;4,00;8,00;4,00;4,00;4,00;0,00;0,00;12,00;4,00;4,00;0,00;0,00;8,00;8,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;20,00;8,00;0,00;4,00;4,00;0,00;4,00;4,00;8,00;4,00;4,00;0,00;0,00;12,00;12,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;40,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;24,00
lula_df_texto_contra.txt;3;10;10,00;80,00;30,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;10,00;30,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;130,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;20,00;0,00;100,00
lula_df_texto_contra.txt;4;17;17,00;41,18;82,35;52,94;11,76;0,00;0,00;0,00;0,00;0,00;0,00;11,76;0,00;17,65;17,65;0,00;17,65;0,00;0,00;17,65;0,00;0,00;5,88;0,00;0,00;5,88;0,00;0,00;11,76;17,65;0,00;17,65;5,88;5,88;5,88;29,41;5,88;0,00;0,00;0,00;5,88;11,76;17,65;0,00;5,88;0,00;0,00;5,88;5,88;5,88;0,00;0,00;0,00;11,76;0,00;17,65;11,76;5,88;0,00;0,00;0,00;5,88;0,00;0,00;0,00;0,00;0,00;23,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,76;0,00;11,76
lula_df_texto_contra.txt;5;3;3,00;33,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;200,00;0,00;0,00;33,33;0,00;0,00;0,00;0,00;0,00;66,67;0,00;100,00
lula_df_texto_contra.txt;6;4;4,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;175,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;50,00;0,00;100,00
lula_df_texto_contra.txt;7;6;6,00;50,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;150,00;0,00;0,00;33,33;0,00;0,00;0,00;0,00;0,00;33,33;0,00;83,33
lula_df_texto_contra.txt;8;18;18,00;55,56;61,11;27,78;5,56;0,00;0,00;0,00;0,00;0,00;0,00;5,56;0,00;11,11;11,11;0,00;5,56;5,56;0,00;11,11;0,00;0,00;0,00;0,00;5,56;11,11;0,00;0,00;0,00;16,67;5,56;11,11;5,56;5,56;0,00;16,67;5,56;0,00;5,56;0,00;0,00;5,56;5,56;5,56;5,56;0,00;5,56;0,00;5,56;5,56;0,00;0,00;0,00;5,56;0,00;5,56;5,56;0,00;0,00;0,00;0,00;11,11;0,00;0,00;0,00;0,00;0,00;50,00;0,00;0,00;5,56;0,00;0,00;0,00;0,00;0,00;11,11;0,00;33,33
lula_df_texto_contra.txt;9;16;16,00;31,25;62,50;37,50;18,75;6,25;0,00;0,00;6,25;6,25;0,00;18,75;6,25;0,00;0,00;0,00;6,25;0,00;0,00;12,50;12,50;0,00;0,00;0,00;0,00;12,50;0,00;0,00;6,25;18,75;6,25;12,50;0,00;6,25;6,25;25,00;0,00;0,00;6,25;6,25;0,00;0,00;12,50;6,25;0,00;0,00;0,00;0,00;6,25;0,00;0,00;6,25;0,00;6,25;0,00;12,50;6,25;0,00;6,25;0,00;0,00;0,00;0,00;0,00;0,00;6,25;0,00;68,75;0,00;6,25;6,25;0,00;0,00;0,00;0,00;12,50;12,50;0,00;31,25
lula_df_texto_contra.txt;10;5;5,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;160,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;40,00;0,00;80,00
